frame,robot_id,sim_x,sim_y,real_x,real_y
0,0,0.0000000,0.0000000,221.8386443,195.0506827
0,2,0.0000000,0.0000000,123.6604262,201.5352776
0,3,0.0000000,0.0000000,321.7747329,215.2988396
0,4,0.0000000,0.0000000,302.7879394,48.5141270
0,5,0.0000000,0.0000000,123.6777802,20.8775174
1000,0,0.0000000,0.0000000,222.9572885,194.0513654
1000,2,0.0000000,0.0000000,124.9508523,200.7705552
1000,3,0.0000000,0.0000000,320.5194658,214.4776791
1000,4,0.0000000,0.0000000,301.2958788,48.6682540
1000,5,0.0000000,0.0000000,124.6555605,22.0150348
2000,0,0.0000000,0.0000000,224.0759328,193.0520482
2000,2,0.0000000,0.0000000,126.2412785,200.0058328
2000,3,0.0000000,0.0000000,319.2641987,213.6565187
2000,4,0.0000000,0.0000000,299.8038182,48.8223809
2000,5,0.0000000,0.0000000,125.6333407,23.1525521
3000,0,0.0000000,0.0000000,225.1945770,192.0527309
3000,2,0.0000000,0.0000000,127.5317046,199.2411105
3000,3,0.0000000,0.0000000,318.0089315,212.8353582
3000,4,0.0000000,0.0000000,298.3117575,48.9765079
3000,5,0.0000000,0.0000000,126.6111210,24.2900695
4000,0,0.0000000,0.0000000,226.3132213,191.0534136
4000,2,0.0000000,0.0000000,128.8221308,198.4763881
4000,3,0.0000000,0.0000000,316.7536644,212.0141978
4000,4,0.0000000,0.0000000,296.8196969,49.1306349
4000,5,0.0000000,0.0000000,127.5889012,25.4275869
5000,0,0.0000000,0.0000000,227.4318656,190.0540963
5000,2,0.0000000,0.0000000,130.1125570,197.7116657
5000,3,0.0000000,0.0000000,315.4983973,211.1930374
5000,4,0.0000000,0.0000000,295.3276363,49.2847619
5000,5,0.0000000,0.0000000,128.5666815,26.5651043
6000,0,0.0000000,0.0000000,228.5505098,189.0547791
6000,2,0.0000000,0.0000000,131.4029831,196.9469433
6000,3,0.0000000,0.0000000,314.2431302,210.3718769
6000,4,0.0000000,0.0000000,293.8355757,49.4388889
6000,5,0.0000000,0.0000000,129.5444617,27.7026217
7000,0,0.0000000,0.0000000,229.6691541,188.0554618
7000,2,0.0000000,0.0000000,132.6934093,196.1822209
7000,3,0.0000000,0.0000000,312.9878631,209.5507165
7000,4,0.0000000,0.0000000,292.3435151,49.5930159
7000,5,0.0000000,0.0000000,130.5222420,28.8401390
8000,0,0.0000000,0.0000000,230.7877983,187.0561445
8000,2,0.0000000,0.0000000,133.9838354,195.4174985
8000,3,0.0000000,0.0000000,311.7325960,208.7295560
8000,4,0.0000000,0.0000000,290.8514545,49.7471428
8000,5,0.0000000,0.0000000,131.5000222,29.9776564
9000,0,0.0000000,0.0000000,231.9064426,186.0568272
9000,2,0.0000000,0.0000000,135.2742616,194.6527761
9000,3,0.0000000,0.0000000,310.4773288,207.9083956
9000,4,0.0000000,0.0000000,289.3593939,49.9012698
9000,5,0.0000000,0.0000000,132.4778025,31.1151738
1000,0,0.0000000,0.0000000,233.0250868,185.0575099
1000,2,0.0000000,0.0000000,136.5646878,193.8880538
1000,3,0.0000000,0.0000000,309.2220617,207.0872352
1000,4,0.0000000,0.0000000,287.8673333,50.0553968
1000,5,0.0000000,0.0000000,133.4555827,32.2526912
1100,0,0.0000000,0.0000000,234.1437311,184.0581927
1100,2,0.0000000,0.0000000,137.8551139,193.1233314
1100,3,0.0000000,0.0000000,307.9667946,206.2660747
1100,4,0.0000000,0.0000000,286.3752726,50.2095238
1100,5,0.0000000,0.0000000,134.4333630,33.3902085
1200,0,0.0000000,0.0000000,235.2623754,183.0588754
1200,2,0.0000000,0.0000000,139.1455401,192.3586090
1200,3,0.0000000,0.0000000,306.7115275,205.4449143
1200,4,0.0000000,0.0000000,284.8832120,50.3636508
1200,5,0.0000000,0.0000000,135.4111432,34.5277259
1300,0,0.0000000,0.0000000,236.3810196,182.0595581
1300,2,0.0000000,0.0000000,140.4359662,191.5938866
1300,3,0.0000000,0.0000000,305.4562604,204.6237538
1300,4,0.0000000,0.0000000,283.3911514,50.5177778
1300,5,0.0000000,0.0000000,136.3889235,35.6652433
1400,0,0.0000000,0.0000000,237.4996639,181.0602408
1400,2,0.0000000,0.0000000,141.7263924,190.8291642
1400,3,0.0000000,0.0000000,304.2009933,203.8025934
1400,4,0.0000000,0.0000000,281.8990908,50.6719047
1400,5,0.0000000,0.0000000,137.3667037,36.8027607
1500,0,0.0000000,0.0000000,238.6183081,180.0609235
1500,2,0.0000000,0.0000000,143.0168186,190.0644418
1500,3,0.0000000,0.0000000,302.9457261,202.9814330
1500,4,0.0000000,0.0000000,280.4070302,50.8260317
1500,5,0.0000000,0.0000000,138.3444840,37.9402781
1600,0,0.0000000,0.0000000,239.7369524,179.0616063
1600,2,0.0000000,0.0000000,144.3072447,189.2997194
1600,3,0.0000000,0.0000000,301.6904590,202.1602725
1600,4,0.0000000,0.0000000,278.9149696,50.9801587
1600,5,0.0000000,0.0000000,139.3222642,39.0777954
1700,0,0.0000000,0.0000000,240.8555967,178.0622890
1700,2,0.0000000,0.0000000,145.5976709,188.5349971
1700,3,0.0000000,0.0000000,300.4351919,201.3391121
1700,4,0.0000000,0.0000000,277.4229090,51.1342857
1700,5,0.0000000,0.0000000,140.3000445,40.2153128
1800,0,0.0000000,0.0000000,241.9742409,177.0629717
1800,2,0.0000000,0.0000000,146.8880970,187.7702747
1800,3,0.0000000,0.0000000,299.1799248,200.5179516
1800,4,0.0000000,0.0000000,275.9308484,51.2884127
1800,5,0.0000000,0.0000000,141.2778247,41.3528302
1900,0,0.0000000,0.0000000,243.0928852,176.0636544
1900,2,0.0000000,0.0000000,148.1785232,187.0055523
1900,3,0.0000000,0.0000000,297.9246577,199.6967912
1900,4,0.0000000,0.0000000,274.4387877,51.4425397
1900,5,0.0000000,0.0000000,142.2556049,42.4903476
2000,0,0.0000000,0.0000000,244.2115294,175.0643372
2000,2,0.0000000,0.0000000,149.4689494,186.2408299
2000,3,0.0000000,0.0000000,296.6693906,198.8756308
2000,4,0.0000000,0.0000000,272.9467271,51.5966666
2000,5,0.0000000,0.0000000,143.2333852,43.6278650
2100,0,0.0000000,0.0000000,243.0928852,176.0636544
2100,2,0.0000000,0.0000000,150.7593755,185.4761075
2100,3,0.0000000,0.0000000,295.4141235,198.0544703
2100,4,0.0000000,0.0000000,271.4546665,51.7507936
2100,5,0.0000000,0.0000000,144.2111654,44.7653823
2200,0,0.0000000,0.0000000,244.2115294,175.0643372
2200,2,0.0000000,0.0000000,152.0498017,184.7113851
2200,3,0.0000000,0.0000000,294.1588563,197.2333099
2200,4,0.0000000,0.0000000,269.9626059,51.9049206
2200,5,0.0000000,0.0000000,145.1889457,45.9028997
2300,0,0.0000000,0.0000000,243.0928852,176.0636544
2300,2,0.0000000,0.0000000,150.7593755,185.4761075
2300,3,0.0000000,0.0000000,292.9035892,196.4121494
2300,4,0.0000000,0.0000000,268.4705453,52.0590476
2300,5,0.0000000,0.0000000,146.1667259,47.0404171
2400,0,0.0000000,0.0000000,244.2115294,175.0643372
2400,2,0.0000000,0.0000000,152.0498017,184.7113851
2400,3,0.0000000,0.0000000,291.6483221,195.5909890
2400,4,0.0000000,0.0000000,266.9784847,52.2131746
2400,5,0.0000000,0.0000000,147.1445062,48.1779345
2500,0,0.0000000,0.0000000,243.0928852,176.0636544
2500,2,0.0000000,0.0000000,150.7593755,185.4761075
2500,3,0.0000000,0.0000000,290.3930550,194.7698286
2500,4,0.0000000,0.0000000,265.4864241,52.3673016
2500,5,0.0000000,0.0000000,148.1222864,49.3154519
2600,0,0.0000000,0.0000000,244.2115294,175.0643372
2600,2,0.0000000,0.0000000,152.0498017,184.7113851
2600,3,0.0000000,0.0000000,289.1377879,193.9486681
2600,4,0.0000000,0.0000000,263.9943634,52.5214285
2600,5,0.0000000,0.0000000,149.1000667,50.4529692
2700,0,0.0000000,0.0000000,243.0928852,176.0636544
2700,2,0.0000000,0.0000000,150.7593755,185.4761075
