640,360,3.04
robot_id,x_cm,y_cm,angle_deg,x_pixel,y_pixel
2,122.37,202.30,268.03,372.78,254.50
0,220.72,196.05,271.91,671.25,235.00
4,304.28,48.36,271.79,925.25,-213.25
3,323.03,216.12,277.59,982.18,296.63
5,122.70,19.74,271.97,373.25,-300.50
