frame,robot_id,sim_x,sim_y,real_x,real_y
0,0,0.0000000,0.0000000,224.3300000,191.3300000
0,2,0.0000000,0.0000000,128.3300000,197.3300000
0,3,0.0000000,0.0000000,340.6700000,218.3300000
0,4,0.0000000,0.0000000,340.3300000,30.3300000
0,5,0.0000000,0.0000000,126.0000000,24.0000000
10,0,0.0000000,0.0000000,188.5754506,95.0838827
10,2,0.0000000,0.0000000,268.1018603,90.3524677
10,3,0.0000000,0.0000000,308.9688668,83.0992733
10,4,0.0000000,0.0000000,285.7776059,52.7986521
10,5,0.0000000,0.0000000,174.8926417,58.2517242
20,0,0.0000000,0.0000000,188.5754506,95.0838827
20,2,0.0000000,0.0000000,269.7144662,89.1182236
20,3,0.0000000,0.0000000,311.5271212,80.7676919
20,4,0.0000000,0.0000000,288.6964562,50.9382085
20,5,0.0000000,0.0000000,174.8926417,58.2517242
30,0,0.0000000,0.0000000,188.5754506,95.0838827
30,2,0.0000000,0.0000000,271.4219686,87.8113483
30,3,0.0000000,0.0000000,312.1191213,80.2359199
30,4,0.0000000,0.0000000,289.3643966,50.5056566
30,5,0.0000000,0.0000000,174.8926417,58.2517242
40,0,0.0000000,0.0000000,188.5754506,95.0838827
40,2,0.0000000,0.0000000,271.4219686,87.8113483
40,3,0.0000000,0.0000000,312.1191213,80.2359199
40,4,0.0000000,0.0000000,289.3643966,50.5056566
40,5,0.0000000,0.0000000,174.8926417,58.2517242
50,0,0.0000000,0.0000000,188.5754506,95.0838827
50,2,0.0000000,0.0000000,271.4219686,87.8113483
50,3,0.0000000,0.0000000,312.1191213,80.2359199
50,4,0.0000000,0.0000000,289.3643966,50.5056566
50,5,0.0000000,0.0000000,174.8926417,58.2517242
60,0,0.0000000,0.0000000,188.5754506,95.0838827
60,2,0.0000000,0.0000000,271.4219686,87.8113483
60,3,0.0000000,0.0000000,312.1191213,80.2359199
60,4,0.0000000,0.0000000,289.3643966,50.5056566
60,5,0.0000000,0.0000000,174.8926417,58.2517242
70,0,0.0000000,0.0000000,188.5754506,95.0838827
70,2,0.0000000,0.0000000,271.4219686,87.8113483
70,3,0.0000000,0.0000000,312.1191213,80.2359199
70,4,0.0000000,0.0000000,289.3643966,50.5056566
70,5,0.0000000,0.0000000,174.8926417,58.2517242
80,0,0.0000000,0.0000000,188.5754506,95.0838827
80,2,0.0000000,0.0000000,271.4219686,87.8113483
80,3,0.0000000,0.0000000,312.1191213,80.2359199
80,4,0.0000000,0.0000000,289.3643966,50.5056566
80,5,0.0000000,0.0000000,174.8926417,58.2517242
90,0,0.0000000,0.0000000,188.5754506,95.0838827
90,2,0.0000000,0.0000000,271.4219686,87.8113483
90,3,0.0000000,0.0000000,312.1191213,80.2359199
90,4,0.0000000,0.0000000,289.3643966,50.5056566
90,5,0.0000000,0.0000000,174.8926417,58.2517242
100,0,0.0000000,0.0000000,188.5754506,95.0838827
100,2,0.0000000,0.0000000,271.4219686,87.8113483
100,3,0.0000000,0.0000000,312.1191213,80.2359199
100,4,0.0000000,0.0000000,289.3643966,50.5056566
100,5,0.0000000,0.0000000,174.8926417,58.2517242
110,0,0.0000000,0.0000000,203.1355973,70.2304844
110,2,0.0000000,0.0000000,271.4219686,87.8113483
110,3,0.0000000,0.0000000,312.1191213,80.2359199
110,4,0.0000000,0.0000000,289.3643966,50.5056566
110,5,0.0000000,0.0000000,164.8573403,79.3676605
120,0,0.0000000,0.0000000,207.8267076,89.3735687
120,2,0.0000000,0.0000000,271.4219686,87.8113483
120,3,0.0000000,0.0000000,312.1191213,80.2359199
120,4,0.0000000,0.0000000,289.3643966,50.5056566
120,5,0.0000000,0.0000000,169.0385465,98.6547856
130,0,0.0000000,0.0000000,211.8988762,108.1774633
130,2,0.0000000,0.0000000,271.4219686,87.8113483
130,3,0.0000000,0.0000000,312.1191213,80.2359199
130,4,0.0000000,0.0000000,289.3643966,50.5056566
130,5,0.0000000,0.0000000,170.8553530,118.7078129
140,0,0.0000000,0.0000000,201.0536688,104.4700163
140,2,0.0000000,0.0000000,271.4219686,87.8113483
140,3,0.0000000,0.0000000,312.1191213,80.2359199
140,4,0.0000000,0.0000000,289.3643966,50.5056566
140,5,0.0000000,0.0000000,180.2656255,143.0853139
150,0,0.0000000,0.0000000,197.0000000,112.0000000
150,2,0.0000000,0.0000000,271.4219686,87.8113483
150,3,0.0000000,0.0000000,312.1191213,80.2359199
150,4,0.0000000,0.0000000,289.3643966,50.5056566
150,5,0.0000000,0.0000000,185.6753895,155.5093024
160,0,0.0000000,0.0000000,197.0000000,112.0000000
160,2,0.0000000,0.0000000,299.8070762,58.5553088
160,3,0.0000000,0.0000000,268.0077645,85.0540051
160,4,0.0000000,0.0000000,302.3915263,99.8677871
160,5,0.0000000,0.0000000,187.0000000,175.0000000
170,0,0.0000000,0.0000000,197.0000000,112.0000000
170,2,0.0000000,0.0000000,291.8156761,76.8735348
170,3,0.0000000,0.0000000,259.5451453,102.8107127
170,4,0.0000000,0.0000000,293.6634495,118.2343919
170,5,0.0000000,0.0000000,187.0000000,175.0000000
180,0,0.0000000,0.0000000,197.0000000,112.0000000
180,2,0.0000000,0.0000000,285.9566320,89.8229195
180,3,0.0000000,0.0000000,253.5150634,115.5770955
180,4,0.0000000,0.0000000,287.5225511,131.2147165
180,5,0.0000000,0.0000000,187.0000000,175.0000000
190,0,0.0000000,0.0000000,197.0000000,112.0000000
190,2,0.0000000,0.0000000,285.9566320,89.8229195
190,3,0.0000000,0.0000000,253.5150634,115.5770955
190,4,0.0000000,0.0000000,287.5225511,131.2147165
190,5,0.0000000,0.0000000,187.0000000,175.0000000
200,0,0.0000000,0.0000000,197.0000000,112.0000000
200,2,0.0000000,0.0000000,285.9566320,89.8229195
200,3,0.0000000,0.0000000,253.5150634,115.5770955
200,4,0.0000000,0.0000000,287.5225511,131.2147165
200,5,0.0000000,0.0000000,187.0000000,175.0000000
210,0,0.0000000,0.0000000,197.0000000,112.0000000
210,2,0.0000000,0.0000000,285.9566320,89.8229195
210,3,0.0000000,0.0000000,253.5150634,115.5770955
210,4,0.0000000,0.0000000,287.5225511,131.2147165
210,5,0.0000000,0.0000000,187.0000000,175.0000000
220,0,0.0000000,0.0000000,197.0000000,112.0000000
220,2,0.0000000,0.0000000,285.9566320,89.8229195
220,3,0.0000000,0.0000000,253.5150634,115.5770955
220,4,0.0000000,0.0000000,287.5225511,131.2147165
220,5,0.0000000,0.0000000,187.0000000,175.0000000
230,0,0.0000000,0.0000000,197.0000000,112.0000000
230,2,0.0000000,0.0000000,285.9566320,89.8229195
230,3,0.0000000,0.0000000,253.5150634,115.5770955
230,4,0.0000000,0.0000000,287.5225511,131.2147165
230,5,0.0000000,0.0000000,187.0000000,175.0000000
240,0,0.0000000,0.0000000,197.0000000,112.0000000
240,2,0.0000000,0.0000000,285.9566320,89.8229195
240,3,0.0000000,0.0000000,253.5150634,115.5770955
240,4,0.0000000,0.0000000,287.5225511,131.2147165
240,5,0.0000000,0.0000000,187.0000000,175.0000000
250,0,0.0000000,0.0000000,197.0000000,112.0000000
250,2,0.0000000,0.0000000,285.9566320,89.8229195
250,3,0.0000000,0.0000000,253.5150634,115.5770955
250,4,0.0000000,0.0000000,287.5225511,131.2147165
250,5,0.0000000,0.0000000,187.0000000,175.0000000
260,0,0.0000000,0.0000000,197.0000000,112.0000000
