frame,robot_id,sim_x,sim_y,real_x,real_y
0,0,0.0000000,0.0000000,224.3300000,191.3300000
0,2,0.0000000,0.0000000,128.3300000,197.3300000
0,3,0.0000000,0.0000000,340.6700000,218.3300000
0,4,0.0000000,0.0000000,340.3300000,30.3300000
0,5,0.0000000,0.0000000,126.0000000,24.0000000
10,0,0.0000000,0.0000000,187.0000000,175.0000000
10,2,0.0000000,0.0000000,251.5082779,129.7850164
10,3,0.0000000,0.0000000,285.9470473,110.9004682
10,4,0.0000000,0.0000000,296.0000000,69.0000000
10,5,0.0000000,0.0000000,180.0000000,72.0000000
20,0,0.0000000,0.0000000,187.0000000,175.0000000
20,2,0.0000000,0.0000000,251.5082779,129.7850164
20,3,0.0000000,0.0000000,285.9470473,110.9004682
20,4,0.0000000,0.0000000,296.0000000,69.0000000
20,5,0.0000000,0.0000000,180.0000000,72.0000000
30,0,0.0000000,0.0000000,187.0000000,175.0000000
30,2,0.0000000,0.0000000,251.5082779,129.7850164
30,3,0.0000000,0.0000000,285.9470473,110.9004682
30,4,0.0000000,0.0000000,296.0000000,69.0000000
30,5,0.0000000,0.0000000,180.0000000,72.0000000
40,0,0.0000000,0.0000000,187.0000000,175.0000000
40,2,0.0000000,0.0000000,251.5082779,129.7850164
40,3,0.0000000,0.0000000,285.9470473,110.9004682
40,4,0.0000000,0.0000000,296.0000000,69.0000000
40,5,0.0000000,0.0000000,180.0000000,72.0000000
50,0,0.0000000,0.0000000,187.0000000,175.0000000
50,2,0.0000000,0.0000000,251.5082779,129.7850164
50,3,0.0000000,0.0000000,285.9470473,110.9004682
50,4,0.0000000,0.0000000,296.0000000,69.0000000
50,5,0.0000000,0.0000000,180.0000000,72.0000000
60,0,0.0000000,0.0000000,187.0000000,175.0000000
60,2,0.0000000,0.0000000,251.5082779,129.7850164
60,3,0.0000000,0.0000000,285.9470473,110.9004682
60,4,0.0000000,0.0000000,296.0000000,69.0000000
60,5,0.0000000,0.0000000,180.0000000,72.0000000
70,0,0.0000000,0.0000000,187.0000000,175.0000000
70,2,0.0000000,0.0000000,251.5082779,129.7850164
70,3,0.0000000,0.0000000,285.9470473,110.9004682
70,4,0.0000000,0.0000000,296.0000000,69.0000000
70,5,0.0000000,0.0000000,180.0000000,72.0000000
80,0,0.0000000,0.0000000,187.0000000,175.0000000
80,2,0.0000000,0.0000000,251.5082779,129.7850164
80,3,0.0000000,0.0000000,285.9470473,110.9004682
80,4,0.0000000,0.0000000,296.0000000,69.0000000
80,5,0.0000000,0.0000000,180.0000000,72.0000000
90,0,0.0000000,0.0000000,187.0000000,175.0000000
90,2,0.0000000,0.0000000,251.9869903,106.4472366
90,3,0.0000000,0.0000000,286.5234269,125.4351864
90,4,0.0000000,0.0000000,289.1276505,83.6409942
90,5,0.0000000,0.0000000,177.9443011,70.1727121
100,0,0.0000000,0.0000000,187.0000000,175.0000000
100,2,0.0000000,0.0000000,254.0856679,113.9851817
100,3,0.0000000,0.0000000,288.1730478,129.9853804
100,4,0.0000000,0.0000000,287.8075902,86.4533948
100,5,0.0000000,0.0000000,162.9961147,56.8854353
110,0,0.0000000,0.0000000,187.0000000,175.0000000
110,2,0.0000000,0.0000000,253.5154057,115.4584132
110,3,0.0000000,0.0000000,287.4040605,131.3653328
110,4,0.0000000,0.0000000,286.1403120,90.0054223
110,5,0.0000000,0.0000000,148.0479284,43.5981585
120,0,0.0000000,0.0000000,187.0000000,175.0000000
120,2,0.0000000,0.0000000,253.5154057,115.4584132
120,3,0.0000000,0.0000000,287.4040605,131.3653328
120,4,0.0000000,0.0000000,286.1403120,90.0054223
120,5,0.0000000,0.0000000,133.0997420,30.3108818
130,0,0.0000000,0.0000000,187.0000000,175.0000000
130,2,0.0000000,0.0000000,253.5154057,115.4584132
130,3,0.0000000,0.0000000,287.4040605,131.3653328
130,4,0.0000000,0.0000000,286.1403120,90.0054223
130,5,0.0000000,0.0000000,126.0000000,24.0000000
140,0,0.0000000,0.0000000,187.0000000,175.0000000
140,2,0.0000000,0.0000000,253.5154057,115.4584132
140,3,0.0000000,0.0000000,287.4040605,131.3653328
140,4,0.0000000,0.0000000,286.1403120,90.0054223
140,5,0.0000000,0.0000000,126.0000000,24.0000000
150,0,0.0000000,0.0000000,187.0000000,175.0000000
150,2,0.0000000,0.0000000,253.5154057,115.4584132
150,3,0.0000000,0.0000000,287.4040605,131.3653328
150,4,0.0000000,0.0000000,286.1403120,90.0054223
150,5,0.0000000,0.0000000,126.0000000,24.0000000
160,0,0.0000000,0.0000000,187.0000000,175.0000000
160,2,0.0000000,0.0000000,253.5154057,115.4584132
160,3,0.0000000,0.0000000,287.4040605,131.3653328
160,4,0.0000000,0.0000000,286.1403120,90.0054223
160,5,0.0000000,0.0000000,126.0000000,24.0000000
170,0,0.0000000,0.0000000,187.0000000,175.0000000
170,2,0.0000000,0.0000000,253.5154057,115.4584132
170,3,0.0000000,0.0000000,287.4040605,131.3653328
170,4,0.0000000,0.0000000,286.1403120,90.0054223
170,5,0.0000000,0.0000000,126.0000000,24.0000000
180,0,0.0000000,0.0000000,187.0000000,175.0000000
180,2,0.0000000,0.0000000,253.5154057,115.4584132
180,3,0.0000000,0.0000000,287.4040605,131.3653328
180,4,0.0000000,0.0000000,286.1403120,90.0054223
180,5,0.0000000,0.0000000,126.0000000,24.0000000
190,0,0.0000000,0.0000000,187.0000000,175.0000000
190,2,0.0000000,0.0000000,253.5154057,115.4584132
190,3,0.0000000,0.0000000,287.4040605,131.3653328
190,4,0.0000000,0.0000000,286.1403120,90.0054223
190,5,0.0000000,0.0000000,126.0000000,24.0000000
200,0,0.0000000,0.0000000,187.0000000,175.0000000
200,2,0.0000000,0.0000000,253.5154057,115.4584132
200,3,0.0000000,0.0000000,287.4040605,131.3653328
200,4,0.0000000,0.0000000,286.1403120,90.0054223
200,5,0.0000000,0.0000000,126.0000000,24.0000000
210,0,0.0000000,0.0000000,187.0000000,175.0000000
210,2,0.0000000,0.0000000,253.5154057,115.4584132
210,3,0.0000000,0.0000000,287.4040605,131.3653328
210,4,0.0000000,0.0000000,286.1403120,90.0054223
210,5,0.0000000,0.0000000,126.0000000,24.0000000
220,0,0.0000000,0.0000000,187.0000000,175.0000000
220,2,0.0000000,0.0000000,253.5154057,115.4584132
220,3,0.0000000,0.0000000,287.4040605,131.3653328
220,4,0.0000000,0.0000000,286.1403120,90.0054223
220,5,0.0000000,0.0000000,126.0000000,24.0000000
230,0,0.0000000,0.0000000,187.0000000,175.0000000
230,2,0.0000000,0.0000000,253.5154057,115.4584132
230,3,0.0000000,0.0000000,287.4040605,131.3653328
230,4,0.0000000,0.0000000,286.1403120,90.0054223
230,5,0.0000000,0.0000000,126.0000000,24.0000000
240,0,0.0000000,0.0000000,187.0000000,175.0000000
240,2,0.0000000,0.0000000,242.5804000,121.0961813
240,3,0.0000000,0.0000000,277.0693642,137.9533307
240,4,0.0000000,0.0000000,274.9772343,98.7720950
240,5,0.0000000,0.0000000,126.0000000,24.0000000
250,0,0.0000000,0.0000000,187.0000000,175.0000000
250,2,0.0000000,0.0000000,224.3287634,131.5240721
250,3,0.0000000,0.0000000,258.7749054,149.8903012
250,4,0.0000000,0.0000000,257.6514401,111.2936669
250,5,0.0000000,0.0000000,126.0000000,24.0000000
260,0,0.0000000,0.0000000,186.2808028,176.5251621
